,event_name,response/left,response/right,stimulus/compatible/target_left,stimulus/compatible/target_right,stimulus/incompatible/target_left,stimulus/incompatible/target_right
2,stimulus/compatible/target_left,0.5517578125,,0.0,,,
4,stimulus/compatible/target_left,0.4345703125,,0.0,,,
6,stimulus/incompatible/target_right,,0.5087890625,,,,0.0
8,stimulus/compatible/target_left,0.50390625,,0.0,,1.44921875,
10,stimulus/incompatible/target_left,0.54296875,,,,0.0,
12,stimulus/incompatible/target_left,0.5087890625,,,,0.0,
14,stimulus/incompatible/target_left,0.46484375,,,,0.0,
16,stimulus/incompatible/target_left,0.5244140625,,,1.416015625,0.0,
18,stimulus/compatible/target_right,,0.484375,,0.0,1.466796875,
20,stimulus/incompatible/target_left,0.4501953125,,,,0.0,1.4326171875
22,stimulus/incompatible/target_right,,0.4736328125,,,,0.0
24,stimulus/compatible/target_left,0.4111328125,,0.0,1.416015625,,
26,stimulus/compatible/target_right,,0.458984375,,0.0,,
28,stimulus/compatible/target_right,,0.4013671875,,0.0,,
30,stimulus/incompatible/target_left,0.4609375,,,,0.0,
32,stimulus/incompatible/target_right,,0.48046875,,,,0.0
34,stimulus/compatible/target_left,0.4267578125,,0.0,,,
36,stimulus/incompatible/target_right,,0.4453125,,1.3994140625,,0.0
38,stimulus/compatible/target_right,,0.4541015625,1.5,0.0,,
40,stimulus/compatible/target_left,0.353515625,,0.0,,,
42,stimulus/compatible/target_right,,0.33203125,,0.0,,1.44921875
44,stimulus/incompatible/target_right,,0.4423828125,,,,0.0
46,stimulus/incompatible/target_right,,0.5224609375,,,,0.0
48,stimulus/incompatible/target_left,0.4267578125,,,,0.0,
50,stimulus/incompatible/target_right,,0.412109375,,,,0.0
52,stimulus/incompatible/target_left,,0.375,,,0.0,
54,stimulus/incompatible/target_left,0.41015625,,,,0.0,
56,stimulus/compatible/target_right,,0.4208984375,,0.0,,
58,stimulus/incompatible/target_left,0.4228515625,,,,0.0,1.4326171875
60,stimulus/incompatible/target_right,,0.4697265625,,,,0.0
62,stimulus/compatible/target_left,0.34375,,0.0,,,
64,stimulus/compatible/target_right,,0.3369140625,,0.0,,
66,stimulus/compatible/target_right,,0.443359375,1.466796875,0.0,,
68,stimulus/compatible/target_left,0.4326171875,,0.0,,,
70,stimulus/compatible/target_left,0.400390625,,0.0,1.4990234375,,
72,stimulus/compatible/target_right,,0.3818359375,,0.0,,1.466796875
74,stimulus/incompatible/target_right,0.275390625,,1.4326171875,,,0.0
76,stimulus/compatible/target_left,0.39453125,,0.0,,,
78,stimulus/incompatible/target_right,,0.443359375,,1.482421875,,0.0
80,stimulus/compatible/target_right,,0.392578125,,0.0,,
82,stimulus/compatible/target_right,,0.5302734375,,0.0,,
84,stimulus/compatible/target_right,,0.3642578125,,0.0,,
86,stimulus/compatible/target_left,0.623046875,,0.0,,,
88,stimulus/compatible/target_left,0.38671875,,0.0,,,
90,stimulus/compatible/target_left,0.3955078125,,0.0,,,
92,stimulus/compatible/target_right,,0.2998046875,,0.0,,
94,stimulus/compatible/target_right,,0.3955078125,,0.0,,
96,stimulus/compatible/target_right,,0.3662109375,,0.0,1.4501953125,
98,stimulus/incompatible/target_left,0.4765625,,,,0.0,
100,stimulus/compatible/target_left,0.3681640625,,0.0,,1.4326171875,
102,stimulus/incompatible/target_left,0.455078125,,,,0.0,
104,stimulus/incompatible/target_left,,0.314453125,,,0.0,
106,stimulus/compatible/target_left,0.3505859375,,0.0,,,
108,stimulus/compatible/target_right,,0.48828125,,0.0,,
110,stimulus/incompatible/target_right,0.38671875,,1.4658203125,,,0.0
112,stimulus/compatible/target_left,0.3603515625,,0.0,,1.4326171875,
114,stimulus/incompatible/target_left,0.431640625,,,,0.0,1.466796875
116,stimulus/incompatible/target_right,,0.4130859375,,1.3994140625,,0.0
118,stimulus/compatible/target_right,,0.3662109375,,0.0,,
120,stimulus/compatible/target_left,0.2861328125,,0.0,,,
122,stimulus/compatible/target_left,0.30859375,,0.0,,1.416015625,
124,stimulus/incompatible/target_left,0.4521484375,,,1.44921875,0.0,
126,stimulus/compatible/target_right,,0.35546875,,0.0,,
128,stimulus/incompatible/target_left,0.3798828125,,,1.3994140625,0.0,
130,stimulus/compatible/target_right,,0.404296875,,0.0,,
132,stimulus/compatible/target_right,,0.3447265625,,0.0,,1.4658203125
134,stimulus/incompatible/target_right,0.3583984375,,,,,0.0
136,stimulus/incompatible/target_right,,0.5,,,,0.0
138,stimulus/incompatible/target_right,,0.4306640625,,,,0.0
140,stimulus/compatible/target_left,0.3603515625,,0.0,,,
142,stimulus/incompatible/target_right,,0.5634765625,,,,0.0
144,stimulus/incompatible/target_right,,0.47265625,,,,0.0
146,stimulus/incompatible/target_right,,0.43359375,1.466796875,,,0.0
148,stimulus/compatible/target_left,0.4462890625,,0.0,,,
150,stimulus/incompatible/target_right,,0.43359375,,,1.43359375,0.0
152,stimulus/incompatible/target_left,0.423828125,,,,0.0,
154,stimulus/incompatible/target_left,0.4541015625,,,,0.0,
156,stimulus/incompatible/target_left,0.4345703125,,,,0.0,
158,stimulus/incompatible/target_right,0.3076171875,,,,,0.0
160,stimulus/incompatible/target_left,0.6044921875,,,,0.0,
162,stimulus/incompatible/target_right,,0.4267578125,1.44921875,,,0.0
164,stimulus/compatible/target_left,0.4091796875,,0.0,,,
166,stimulus/incompatible/target_right,,0.41015625,,1.416015625,,0.0
168,stimulus/compatible/target_right,,0.3544921875,,0.0,,
170,stimulus/compatible/target_right,,0.3671875,,0.0,,1.44921875
172,stimulus/incompatible/target_right,,0.4462890625,,,,0.0
174,stimulus/incompatible/target_right,,0.4228515625,,,1.4326171875,0.0
176,stimulus/incompatible/target_left,,0.3583984375,,,0.0,
178,stimulus/incompatible/target_right,,0.5146484375,,,,0.0
180,stimulus/incompatible/target_left,,0.3251953125,,,0.0,
182,stimulus/incompatible/target_right,,0.3271484375,,,,0.0
184,stimulus/incompatible/target_left,0.44921875,,,,0.0,
186,stimulus/compatible/target_right,,0.5849609375,1.44921875,0.0,,
188,stimulus/compatible/target_left,0.416015625,,0.0,,1.43359375,
190,stimulus/incompatible/target_left,0.4140625,,,,0.0,
192,stimulus/incompatible/target_right,,0.3857421875,,,1.5,0.0
194,stimulus/incompatible/target_left,0.486328125,,,,0.0,
196,stimulus/compatible/target_left,0.41796875,,0.0,,,
198,stimulus/incompatible/target_left,,0.4921875,,,0.0,
200,stimulus/incompatible/target_left,0.509765625,,1.4326171875,,0.0,
202,stimulus/compatible/target_left,0.3564453125,,0.0,,,
204,stimulus/incompatible/target_right,0.3115234375,,,,,0.0
206,stimulus/incompatible/target_left,0.4248046875,,,,0.0,
208,stimulus/incompatible/target_right,,0.42578125,,,,0.0
210,stimulus/incompatible/target_left,0.25,,,1.482421875,0.0,
212,stimulus/compatible/target_right,,0.375,,0.0,,
214,stimulus/compatible/target_right,,0.36328125,,0.0,,1.416015625
216,stimulus/incompatible/target_right,,0.443359375,1.4326171875,,,0.0
218,stimulus/compatible/target_left,0.3623046875,,0.0,,,
220,stimulus/compatible/target_left,0.3115234375,,0.0,,,
222,stimulus/incompatible/target_left,,0.3759765625,,,0.0,
224,stimulus/compatible/target_right,,0.3388671875,,0.0,,
226,stimulus/compatible/target_left,0.421875,,0.0,1.4501953125,,
228,stimulus/compatible/target_right,,0.4033203125,,0.0,,
230,stimulus/compatible/target_right,,0.34765625,,0.0,,
232,stimulus/compatible/target_left,0.3994140625,,0.0,1.416015625,,
234,stimulus/compatible/target_right,,0.359375,,0.0,,
236,stimulus/compatible/target_right,,0.3330078125,,0.0,,
238,stimulus/compatible/target_left,0.2802734375,,0.0,,,
240,stimulus/compatible/target_left,0.2763671875,,0.0,,,
242,stimulus/incompatible/target_right,,0.4619140625,1.4169921875,,,0.0
244,stimulus/compatible/target_left,0.3408203125,,0.0,,,
246,stimulus/compatible/target_right,,0.318359375,,0.0,,
248,stimulus/compatible/target_right,,0.404296875,,0.0,,
250,stimulus/compatible/target_right,,0.37109375,,0.0,,
252,stimulus/incompatible/target_left,0.373046875,,,,0.0,
254,stimulus/incompatible/target_left,0.419921875,,1.4990234375,,0.0,
256,stimulus/compatible/target_left,0.2724609375,,0.0,,1.4501953125,
258,stimulus/incompatible/target_left,0.2861328125,,,,0.0,
260,stimulus/incompatible/target_left,0.4560546875,,,,0.0,
262,stimulus/compatible/target_right,,0.345703125,,0.0,,
264,stimulus/compatible/target_left,0.2763671875,,0.0,,,
266,stimulus/incompatible/target_left,0.439453125,,,,0.0,
268,stimulus/incompatible/target_left,0.37109375,,,1.4658203125,0.0,
270,stimulus/compatible/target_right,,0.3291015625,,0.0,1.44921875,
272,stimulus/incompatible/target_left,,0.3359375,,,0.0,
274,stimulus/incompatible/target_left,0.396484375,,,,0.0,1.4990234375
276,stimulus/incompatible/target_right,,0.41796875,,,,0.0
278,stimulus/incompatible/target_right,0.2060546875,,,,,0.0
280,stimulus/incompatible/target_right,,0.4853515625,,1.4990234375,,0.0
282,stimulus/compatible/target_right,,0.3701171875,,0.0,,1.466796875
284,stimulus/incompatible/target_right,,0.462890625,,,,0.0
286,stimulus/compatible/target_left,0.3544921875,,0.0,,,
288,stimulus/compatible/target_left,0.361328125,,0.0,,,
290,stimulus/compatible/target_left,0.31640625,,0.0,1.4990234375,,
292,stimulus/compatible/target_right,0.296875,,,0.0,,
294,stimulus/compatible/target_left,0.3798828125,,0.0,,,
296,stimulus/incompatible/target_right,0.3173828125,,,1.4326171875,,0.0
298,stimulus/compatible/target_right,,0.380859375,,0.0,1.4990234375,
300,stimulus/incompatible/target_left,0.3857421875,,,,0.0,1.466796875
302,stimulus/incompatible/target_right,0.302734375,,,,,0.0
304,stimulus/incompatible/target_right,,0.37109375,1.4501953125,,,0.0
306,stimulus/compatible/target_left,0.3681640625,,0.0,,,
308,stimulus/compatible/target_right,,0.3623046875,,0.0,,1.466796875
310,stimulus/incompatible/target_right,,0.2958984375,,,,0.0
312,stimulus/incompatible/target_right,0.353515625,,,,1.4833984375,0.0
314,stimulus/incompatible/target_left,0.4462890625,,,,0.0,
316,stimulus/compatible/target_left,0.4169921875,,0.0,1.4169921875,,
318,stimulus/compatible/target_right,,0.3759765625,,0.0,,
320,stimulus/compatible/target_left,0.3408203125,,0.0,,,
322,stimulus/incompatible/target_right,,0.47265625,,,1.44921875,0.0
324,stimulus/incompatible/target_left,0.416015625,,,,0.0,
326,stimulus/compatible/target_left,0.3056640625,,0.0,,,
328,stimulus/compatible/target_left,0.3271484375,,0.0,,,
330,stimulus/compatible/target_left,0.314453125,,0.0,,,1.44921875
332,stimulus/incompatible/target_right,0.3046875,,,,1.416015625,0.0
334,stimulus/incompatible/target_left,0.3603515625,,,,0.0,1.43359375
336,stimulus/incompatible/target_right,,0.431640625,,,1.482421875,0.0
338,stimulus/incompatible/target_left,0.3642578125,,,,0.0,1.44921875
340,stimulus/incompatible/target_right,,0.458984375,,,,0.0
342,stimulus/incompatible/target_right,0.3203125,,,,,0.0
344,stimulus/compatible/target_left,0.38671875,,0.0,1.4501953125,,
346,stimulus/compatible/target_right,,0.3447265625,,0.0,1.482421875,
348,stimulus/incompatible/target_left,,0.349609375,,,0.0,
350,stimulus/compatible/target_left,0.3603515625,,0.0,,,
352,stimulus/compatible/target_left,0.3759765625,,0.0,,,
354,stimulus/incompatible/target_right,0.38671875,,,,,0.0
356,stimulus/compatible/target_left,0.349609375,,0.0,,,
358,stimulus/compatible/target_right,,0.3173828125,,0.0,1.416015625,
360,stimulus/incompatible/target_left,,0.28515625,,,0.0,
362,stimulus/incompatible/target_left,0.466796875,,,1.5,0.0,
364,stimulus/compatible/target_right,,0.3828125,,0.0,,
366,stimulus/compatible/target_right,,0.41015625,1.4501953125,0.0,,
368,stimulus/compatible/target_left,0.3681640625,,0.0,,,
370,stimulus/incompatible/target_right,,0.412109375,,1.466796875,,0.0
372,stimulus/compatible/target_right,,0.4013671875,,0.0,,
374,stimulus/compatible/target_right,,0.47265625,,0.0,1.4990234375,
376,stimulus/incompatible/target_left,0.4052734375,,,,0.0,
378,stimulus/incompatible/target_left,,0.3818359375,,1.4658203125,0.0,
380,stimulus/compatible/target_right,,0.3876953125,,0.0,,
382,stimulus/compatible/target_left,0.3916015625,,0.0,,,
384,stimulus/compatible/target_left,0.4677734375,,0.0,1.4169921875,,
386,stimulus/compatible/target_right,,0.443359375,,0.0,,
388,stimulus/compatible/target_right,,0.375,,0.0,,1.3994140625
390,stimulus/incompatible/target_right,,0.455078125,,,,0.0
392,stimulus/compatible/target_right,,0.322265625,,0.0,,
394,stimulus/incompatible/target_left,,0.3544921875,,,0.0,1.44921875
396,stimulus/incompatible/target_right,,0.4169921875,,,1.416015625,0.0
398,stimulus/incompatible/target_left,0.552734375,,,,0.0,1.44921875
400,stimulus/incompatible/target_right,,0.5439453125,,,,0.0
402,stimulus/compatible/target_left,0.439453125,,0.0,,,
404,stimulus/incompatible/target_left,0.482421875,,,,0.0,
406,stimulus/incompatible/target_left,,0.3701171875,,1.4658203125,0.0,
408,stimulus/compatible/target_right,,0.3125,,0.0,,
410,stimulus/compatible/target_right,,0.4482421875,,0.0,,1.4169921875
412,stimulus/incompatible/target_right,,0.447265625,,,,0.0
414,stimulus/incompatible/target_right,,0.333984375,,,,0.0
416,stimulus/compatible/target_left,0.3779296875,,0.0,1.4833984375,,
418,stimulus/compatible/target_right,,0.3984375,,0.0,,
420,stimulus/compatible/target_left,0.353515625,,0.0,,,
422,stimulus/incompatible/target_left,0.5234375,,,,0.0,
424,stimulus/incompatible/target_right,0.33984375,,,,1.482421875,0.0
426,stimulus/incompatible/target_left,0.41796875,,,,0.0,
428,stimulus/incompatible/target_left,,0.4111328125,,,0.0,
430,stimulus/incompatible/target_left,,0.291015625,,,0.0,1.482421875
432,stimulus/incompatible/target_right,,0.392578125,1.4833984375,,,0.0
434,stimulus/compatible/target_left,,0.4765625,0.0,,,
436,stimulus/compatible/target_left,0.4658203125,,0.0,,,
438,stimulus/compatible/target_right,,0.3955078125,,0.0,1.4990234375,
440,stimulus/incompatible/target_left,0.6650390625,,,,0.0,
442,stimulus/compatible/target_right,,0.4013671875,,0.0,,
444,stimulus/incompatible/target_right,,0.4609375,,,,0.0
446,stimulus/incompatible/target_right,,0.4921875,,,,0.0
448,stimulus/compatible/target_right,,0.357421875,,0.0,,
450,stimulus/compatible/target_right,,0.33984375,,0.0,,
452,stimulus/incompatible/target_right,,0.4443359375,,1.4990234375,,0.0
454,stimulus/compatible/target_right,,0.45703125,1.4833984375,0.0,,
456,stimulus/compatible/target_left,,0.56640625,0.0,1.4658203125,,
458,stimulus/compatible/target_right,,0.396484375,,0.0,1.44921875,
460,stimulus/incompatible/target_left,0.626953125,,,,0.0,
462,stimulus/compatible/target_left,0.5634765625,,0.0,,,
464,stimulus/compatible/target_left,0.3955078125,,0.0,1.44921875,,
466,stimulus/compatible/target_right,,0.59375,,0.0,1.43359375,
468,stimulus/incompatible/target_left,0.671875,,,,0.0,1.44921875
470,stimulus/incompatible/target_right,,0.470703125,,,,0.0
472,stimulus/incompatible/target_left,0.4814453125,,,,0.0,
474,stimulus/compatible/target_left,0.5390625,,0.0,,,
476,stimulus/compatible/target_left,,0.4287109375,0.0,,,
478,stimulus/incompatible/target_right,,0.4453125,,,,0.0
480,stimulus/incompatible/target_right,,0.4423828125,,,,0.0
482,stimulus/incompatible/target_right,,0.435546875,,,,0.0
484,stimulus/compatible/target_right,,0.484375,,0.0,,
486,stimulus/compatible/target_right,,0.359375,,0.0,,
488,stimulus/compatible/target_left,0.4013671875,,0.0,,,
490,stimulus/compatible/target_right,,0.4423828125,,0.0,,1.4833984375
492,stimulus/incompatible/target_right,,0.455078125,,,1.4326171875,0.0
494,stimulus/incompatible/target_left,0.40625,,,,0.0,
496,stimulus/compatible/target_left,0.337890625,,0.0,,,
498,stimulus/incompatible/target_right,,0.4501953125,,,,0.0
500,stimulus/compatible/target_left,0.3798828125,,0.0,,,
502,stimulus/compatible/target_left,0.3251953125,,0.0,,1.3994140625,
504,stimulus/incompatible/target_left,0.3896484375,,,,0.0,
506,stimulus/compatible/target_right,,0.3671875,,0.0,,
508,stimulus/incompatible/target_left,,0.298828125,1.4326171875,,0.0,
510,stimulus/compatible/target_left,0.3544921875,,0.0,1.4833984375,,
512,stimulus/compatible/target_right,0.287109375,,,0.0,1.416015625,
514,stimulus/incompatible/target_left,,0.294921875,,1.44921875,0.0,
516,stimulus/compatible/target_right,,0.326171875,1.4326171875,0.0,,
518,stimulus/compatible/target_left,0.3974609375,,0.0,,,
520,stimulus/incompatible/target_right,0.3095703125,,,1.4833984375,,0.0
522,stimulus/compatible/target_right,,0.345703125,,0.0,,1.4326171875
524,stimulus/incompatible/target_right,,0.3291015625,,,,0.0
526,stimulus/compatible/target_right,,0.3740234375,,0.0,,
528,stimulus/incompatible/target_right,0.4462890625,,1.4833984375,,,0.0
530,stimulus/compatible/target_left,0.5712890625,,0.0,,,
532,stimulus/compatible/target_left,0.369140625,,0.0,,1.416015625,
534,stimulus/incompatible/target_left,0.44921875,,,,0.0,1.4658203125
536,stimulus/incompatible/target_right,,0.416015625,,,,0.0
538,stimulus/compatible/target_right,,0.322265625,1.482421875,0.0,,
540,stimulus/compatible/target_left,0.3837890625,,0.0,,,1.4833984375
542,stimulus/incompatible/target_right,,0.30078125,,,,0.0
544,stimulus/incompatible/target_right,,0.48046875,,,1.5,0.0
546,stimulus/incompatible/target_left,,0.3564453125,,,0.0,
548,stimulus/incompatible/target_right,,0.2880859375,,,1.4326171875,0.0
550,stimulus/incompatible/target_left,0.4638671875,,,,0.0,
552,stimulus/incompatible/target_left,0.462890625,,,,0.0,
554,stimulus/compatible/target_left,0.474609375,,0.0,,1.4658203125,
